"sentiment","word_count","ratio","percentt"
"positive",5694,0.101813110181311,10.1813110181311
"negative",4524,0.0808926080892608,8.08926080892608
"trust",4368,0.0781032078103208,7.81032078103208
"anticipation",3510,0.0627615062761506,6.27615062761506
"anger",1872,0.0334728033472803,3.34728033472803
"joy",1482,0.0264993026499303,2.64993026499303
"sadness",1404,0.0251046025104603,2.51046025104602
"fear",1170,0.0209205020920502,2.09205020920502
"surprise",1092,0.0195258019525802,1.95258019525802
"disgust",702,0.0125523012552301,1.25523012552301
